class_id,tamil_char,codepoints,precision,recall,f1_score,support
115,ழூ,U+0BB4 U+0BC2,0.6545,0.6000,0.6261,180.0
116,ன்,U+0BA9 U+0BCD,0.8440,0.5111,0.6367,180.0
117,ன,U+0BA9,0.6959,0.5722,0.6280,180.0
118,னி,U+0BA9 U+0BBF,0.5153,0.7500,0.6109,180.0
119,னீ,U+0BA9 U+0BC0,0.6382,0.7056,0.6702,180.0
120,னு,U+0BA9 U+0BC1,0.4297,0.5944,0.4988,180.0
121,ஷி,U+0BB7 U+0BBF,0.6832,0.7667,0.7225,180.0
122,ஷீ,U+0BB7 U+0BC0,0.7770,0.6000,0.6771,180.0
123,ஷு,U+0BB7 U+0BC1,0.7556,0.1889,0.3022,180.0
124,ஷூ,U+0BB7 U+0BC2,0.4338,0.6556,0.5221,180.0
125,க்ஷ,U+0B95 U+0BCD U+0BB7,0.7021,0.1833,0.2907,180.0
126,க்ஷ்,U+0B95 U+0BCD U+0BB7 U+0BCD,0.4717,0.6944,0.5618,180.0
127,க்ஷி,U+0B95 U+0BCD U+0BB7 U+0BBF,0.8153,0.7111,0.7596,180.0
128,க்ஷீ,U+0B95 U+0BCD U+0BB7 U+0BC0,0.5181,0.7167,0.6014,180.0
129,ஜு,U+0B9C U+0BC1,0.5520,0.6778,0.6085,180.0
130,ஜூ,U+0B9C U+0BC2,0.7105,0.1500,0.2477,180.0
131,ஹ,U+0BB9,0.8402,0.7889,0.8138,180.0
132,ஹ்,U+0BB9 U+0BCD,0.9161,0.7889,0.8478,180.0
133,ஹி,U+0BB9 U+0BBF,0.7901,0.7111,0.7485,180.0
134,ஹீ,U+0BB9 U+0BC0,0.5870,0.7500,0.6585,180.0
135,ஹு,U+0BB9 U+0BC1,0.4521,0.6556,0.5351,180.0
136,ஹூ,U+0BB9 U+0BC2,0.5070,0.2000,0.2869,180.0
137,ஸ,U+0BB8,0.7516,0.6722,0.7097,180.0
138,ஸ்,U+0BB8 U+0BCD,0.8824,0.8333,0.8571,180.0
139,ஸி,U+0BB8 U+0BBF,0.6821,0.7389,0.7093,180.0
140,ஸீ,U+0BB8 U+0BC0,0.8198,0.7833,0.8011,180.0
141,ஸு,U+0BB8 U+0BC1,0.7917,0.4222,0.5507,180.0
142,ஸூ,U+0BB8 U+0BC2,0.5613,0.7889,0.6559,180.0
143,ஷ,U+0BB7,0.6950,0.7722,0.7316,180.0
144,ஷ்,U+0BB7 U+0BCD,0.8323,0.7444,0.7859,180.0
145,னூ,U+0BA9 U+0BC2,0.6519,0.4889,0.5587,180.0
146,ஸ்ரீ,U+0BB8 U+0BCD U+0BB0 U+0BC0,0.8452,0.7889,0.8161,180.0
147,க்ஷூ,U+0B95 U+0BCD U+0BB7 U+0BC2,0.6311,0.8556,0.7264,180.0
148,ஜ,U+0B9C,0.8192,0.8056,0.8123,180.0
149,ஜ்,U+0B9C U+0BCD,0.9217,0.8500,0.8844,180.0
150,ஜி,U+0B9C U+0BBF,0.4019,0.9333,0.5619,180.0
151,ஜீ,U+0B9C U+0BC0,0.5684,0.6000,0.5838,180.0
152,க்ஷு,U+0B95 U+0BCD U+0BB7 U+0BC1,0.5963,0.5333,0.5630,180.0
153,ெ,U+0BC6,0.6982,0.8611,0.7711,180.0
154,ே,U+0BC7,0.8402,0.7889,0.8138,180.0
155,ை,U+0BC8,0.4286,0.7500,0.5455,180.0
