class_id,tamil_char,codepoints,precision,recall,f1_score,support
140,ஸீ,U+0BB8 U+0BC0,0.9503,0.9556,0.9529,180.0
141,ஸு,U+0BB8 U+0BC1,0.8883,0.9278,0.9076,180.0
142,ஸூ,U+0BB8 U+0BC2,0.9524,0.8889,0.9195,180.0
143,ஷ,U+0BB7,0.9048,0.9500,0.9268,180.0
144,ஷ்,U+0BB7 U+0BCD,0.9598,0.9278,0.9435,180.0
145,னூ,U+0BA9 U+0BC2,0.9268,0.8444,0.8837,180.0
146,ஸ்ரீ,U+0BB8 U+0BCD U+0BB0 U+0BC0,0.9883,0.9389,0.9630,180.0
147,க்ஷூ,U+0B95 U+0BCD U+0BB7 U+0BC2,0.8119,0.9111,0.8586,180.0
148,ஜ,U+0B9C,0.9598,0.9278,0.9435,180.0
149,ஜ்,U+0B9C U+0BCD,0.9887,0.9722,0.9804,180.0
150,ஜி,U+0B9C U+0BBF,0.9553,0.9500,0.9526,180.0
151,ஜீ,U+0B9C U+0BC0,0.8088,0.9167,0.8594,180.0
152,க்ஷு,U+0B95 U+0BCD U+0BB7 U+0BC1,0.7297,0.7500,0.7397,180.0
153,ெ,U+0BC6,0.9454,0.9611,0.9532,180.0
154,ே,U+0BC7,0.9825,0.9333,0.9573,180.0
155,ை,U+0BC8,0.9005,0.9556,0.9272,180.0
